"","LOINC_NUM","COMPONENT","SYSTEM","LONG_COMMON_NAME","RELATEDNAMES2"
"3395","21205-0","Syzygium aromaticum Ak.IgG.RAST Klasse","Serum","Syzygium aromaticum IgG-Antikörper-RAST-Klasse [Nachweis] in Serum",""
"3396","21213-4","Gadus morhua Ak.IgG.RAST Klasse","Serum","Gadus morhua IgG-Antikörper-RAST-Klasse [Nachweis] in Serum",""
"3397","743-5","Monozyten","Blut","Monozyten [#/Volumen] in Blut mit manueller Zählung",""
"3398","6799-1","Trizyklische Antidepressiva","Urin","Trizyklische Antidepressiva [Nachweis] in Urin mit Immunoassay",""
"3399","21231-6","Cancer pagurus Ak.IgG.RAST Klasse","Serum","Cancer pagurus IgG-Antikörper-RAST-Klasse [Nachweis] in Serum",""
"3400","21254-8","Eigelb Ak.IgG.RAST Klasse","Serum","Eigelb IgG-Antikörper-RAST-Klasse [Nachweis] in Serum",""
"3401","21260-5","Epstein-Barr-Virus nukleärer Ak","Serum","Epstein-Barr-Virus nukleärer Antikörper [Titer] in Serum mit Immunfluoreszenztest","EBV"
"3402","21305-8","Glucose","Urin","Glucose [Masse/Volumen] in 24-Stunden-Urin","Glukose"
"3403","21327-2","Herpes-simplex-Virus-Typ-2-Ak.IgM","Serum","Herpes-simplex-Virus Typ 2 IgM-Antikörper [Titer] in Serum","Human alphaherpesvirus 2"
"3404","21347-0","HTLV 1+2 Ak-Bandenmuster","Serum","HTLV 1+2 Antikörper-Bandenmuster [Interpretation] in Serum mit Immunoblot",""
"3405","22617-5","Wuchereria bancrofti Ak","Serum","Wuchereria bancrofti Antikörper [Nachweis] in Serum",""
"3406","7559-8","Ostrea edulis Ak.IgG","Serum","Ostrea edulis IgG-Antikörper [Einheiten/Volumen] in Serum",""
"3407","7563-0","Capsicum annuum Ak.IgE","Serum","Capsicum annuum IgE-Antikörper [Einheiten/Volumen] in Serum",""
"3408","6273-7","Juglans spp Ak.IgE","Serum","Juglans spp IgE-Antikörper [Einheiten/Volumen] in Serum",""
"3409","6280-2","Dolichovespula maculata Ak.IgE","Serum","Dolichovespula maculata IgE-Antikörper [Einheiten/Volumen] in Serum",""
"3410","8212-3","Opiate","Magenflüssigkeit","Opiate [Nachweis] in Magenflüssigkeit mit Screening",""
"3411","82163-7","Humanes Coronavirus 229E RNA","Nasopharynx","Humanes Coronavirus 229E RNA [Nachweis] in Nasopharynx mit Nukleinsäureamplifikation mit Detektion ohne Sonde",""
"3412","6927-8","Thrombozyt Ak.IgG","Serum","Thrombozyten IgG-Antikörper [Nachweis] in Serum mit Durchflusszytometrie",""
"3413","6033-5","Persea americana Ak.IgE","Serum","Persea americana IgE-Antikörper [Einheiten/Volumen] in Serum",""
"3414","6035-0","Musa spp Ak.IgE","Serum","Musa spp IgE-Antikörper [Einheiten/Volumen] in Serum",""
"3415","6038-4","Fagus grandifolia Ak.IgE","Serum","Fagus grandifolia IgE-Antikörper [Einheiten/Volumen] in Serum",""
"3416","721-1","Hämoglobin.frei","Plasma","Freies Hämoglobin [Masse/Volumen] in Plasma",""
"3417","72160-5","Holo-Transcobalamin II","Serum","Holo-Transcobalamin II [Mol/Volumen] in Serum",""
"3418","6143-2","Pferdeschuppen Ak.IgE","Serum","Pferdeschuppen IgE-Antikörper [Einheiten/Volumen] in Serum",""
"3419","6147-3","Bovines Insulin Ak.IgE","Serum","Bovines Insulin IgE-Antikörper [Einheiten/Volumen] in Serum",""
"3420","6151-5","Cupressus sempervirens Ak.IgE","Serum","Cupressus sempervirens IgE-Antikörper [Einheiten/Volumen] in Serum",""
"3421","53151-7","Valin/Phenylalanin","Blut.Tropfen","Valin/Phenylalanin [Molverhältnis] in Trockenblut",""
"3422","53227-5","Leukozyten","Zervix","Leukozyten [#/Fläche] in Zervix mit feuchter Nativpräparation",""
"3423","22626-6","Xylose^nach 25 g Xylose per os","Urin","Xylose [Masse/Zeit] in 5-Stunden-Urin --nach 25 g Xylose per os",""
"3424","22652-2","Glutamat","Zerebrospinalflüssigkeit","Glutamat [Mol/Volumen] in Zerebrospinalflüssigkeit","Glutaminsäure"
"3425","22658-9","Alloisoleucin","Zerebrospinalflüssigkeit","Alloisoleucin [Mol/Volumen] in Zerebrospinalflüssigkeit",""
"3426","22668-8","Propylenglykol","Serum oder Plasma","Propylenglykol [Mol/Volumen] in Serum oder Plasma",""
"3427","22670-4","Alloisoleucin","Serum oder Plasma","Alloisoleucin [Mol/Volumen] in Serum oder Plasma",""
"3428","22671-2","Phytanat","Serum oder Plasma","Phytanat [Mol/Volumen] in Serum oder Plasma","Phytansäure"
"3429","22682-9","Ornithin/Creatinin","Urin","Ornithin/Creatinin [Molverhältnis] in Urin",""
"3430","22688-6","Threonin/Creatinin","Urin","Threonin/Creatinin [Molverhältnis] in Urin",""
"3431","22690-2","Prolin/Creatinin","Urin","Prolin/Creatinin [Molverhältnis] in Urin",""
"3432","22692-8","Valin/Creatinin","Urin","Valin/Creatinin [Molverhältnis] in Urin",""
"3433","21366-0","Lactuca sativa Ak.IgG.RAST Klasse","Serum","Lactuca sativa IgG-Antikörper-RAST-Klasse [Nachweis] in Serum",""
"3434","21367-8","Levofloxacin","Isolat","Levofloxacin [Empfindlichkeit] mit Agardiffusion",""
"3435","21371-0","Homarus gammarus Ak.IgG.RAST Klasse","Serum","Homarus gammarus IgG-Antikörper-RAST-Klasse [Nachweis] in Serum",""
"3436","21375-1","Lymphozyten.kappa/Lymphozyten.lambda","Blut","Kappa-Lymphozyten/Lymphozyten.lambda [#/#] in Blut",""
"3437","24458-2","Interleukin-2-Rezeptor","Serum oder Plasma","Interleukin-2-Rezeptor [Masse/Volumen] in Serum oder Plasma","IL-2-Rezeptor; IL2-Rezeptor"
"3438","24124-0","Zylinder","Urinsediment","Zylinder [Nachweis] in Urinsediment mit Lichtmikroskopie",""
"3439","24138-0","Sorghum halepense Ak.IgG","Serum","Sorghum halepense IgG-Antikörper [Einheiten/Volumen] in Serum",""
"3440","24172-9","Polio-Virus 2 Ak.neutralisierend^2. Probenmaterial","Serum","Poliovirus 2-neutralisierender Antikörper [Titer] in Serum mit Neutralisationstest --2. Probenmaterial",""
"3441","24173-7","Polio-Virus 3 Ak.neutralisierend^1. Probenmaterial","Serum","Poliovirus 3-neutralisierender Antikörper [Titer] in Serum mit Neutralisationstest --1. Probenmaterial",""
"3442","24293-3","Parainfluenza-Virus 1 Ak^1. Probenmaterial","Serum","Parainfluenza-Virus 1 Antikörper [Titer] in Serum --1. Probenmaterial","Human respirovirus 1"
"3443","21433-8","Citrus sinensis Baum Ak.IgE.RAST Klasse","Serum","Citrus sinensis Baum IgE-Antikörper-RAST-Klasse [Nachweis] in Serum",""
"3444","21438-7","Ostrea edulis Ak.IgG.RAST Klasse","Serum","Ostrea edulis IgG-Antikörper-RAST-Klasse [Nachweis] in Serum",""
"3445","21439-5","Papain Ak.IgE.RAST Klasse","Serum","Papain IgE-Antikörper-RAST-Klasse [Nachweis] in Serum",""
"3446","21445-2","Pisum sativum Ak.IgG.RAST Klasse","Serum","Pisum sativum IgG-Antikörper-RAST-Klasse [Nachweis] in Serum",""
"3447","21460-1","Stizostedion vitreum Ak.IgE.RAST Klasse","Serum","Stizostedion vitreum IgE-Antikörper-RAST-Klasse [Nachweis] in Serum",""
"3448","100049-6","Eravacyclin","Isolat","Eravacyclin [Empfindlichkeit]",""
"3449","21376-9","Macadamia spp Ak.IgE.RAST Klasse","Serum","Macadamia spp IgE-Antikörper-RAST-Klasse [Nachweis] in Serum",""
"3450","21379-3","Malz Ak.IgG.RAST Klasse","Serum","Malz IgG-Antikörper-RAST-Klasse [Nachweis] in Serum",""
"3451","9713-9","Shigella dysenteriae Ak","Serum","Shigella dysenteriae Antikörper [Titer] in Serum mit Komplementbindungsreaktion",""
"3452","53134-3","Amylase-Isoenzyme","Körperflüssigkeit","Amylase-Isoenzyme [Interpretation] in Körperflüssigkeit - Freitext",""
"3453","53142-6","Stickstoff","Stuhl","Stickstoff [Mol/Zeit] in 24-Stunden-Stuhl",""
"3454","55095-4","Adenovirus","XXX","Adenovirus [Nachweis] in Probenmaterial mit erregerspezifischer Kultur",""
"3455","6192-9","Olea europaea-Pollen Ak.IgE","Serum","Olea europaea-Pollen IgE-Antikörper [Einheiten/Volumen] in Serum",""
"3456","6193-7","Allium cepa Ak.IgE","Serum","Allium cepa IgE-Antikörper [Einheiten/Volumen] in Serum",""
"3457","6196-0","Chrysanthemum leucanthemum Ak.IgE","Serum","Chrysanthemum leucanthemum IgE-Antikörper [Einheiten/Volumen] in Serum",""
"3458","48146-5","Myeloperoxidase","Serum","Myeloperoxidase [Einheiten/Volumen] in Serum","MPO"
"3459","48148-1","Osmolalität","Urin","Osmolalität von Urin, berechnet",""
"3460","48163-0","Zytokeratin 19","Körperflüssigkeit","Zytokeratin 19 [Masse/Volumen] in Körperflüssigkeit","Cyfra 21-1"
"3461","5724-0","Selen","Serum oder Plasma","Selen [Masse/Volumen] in Serum oder Plasma",""
"3462","56329-6","Prunus persica var nucipersica Ak.IgG4","Serum","Prunus persica var nucipersica IgG4-Antikörper [Masse/Volumen] in Serum",""
"3463","49733-9","Interleukin-10","Körperflüssigkeit","Interleukin-10 [Masse/Volumen] in Körperflüssigkeit",""
"3464","49752-9","Buprenorphin","Urin","Buprenorphin [Masse/Volumen] in Urin mit Bestätigungstest",""
"3465","49764-4","Calcium","Amnionflüssigkeit","Calcium [Masse/Volumen] in Amnionflüssigkeit","Ca; Kalzium"
"3466","726-0","Hämoglobin","Urin","Hämoglobin [Masse/Volumen] in Urin",""
"3467","7270-2","Curry Ak.IgE","Serum","Curry IgE-Antikörper [Einheiten/Volumen] in Serum",""
"3468","7275-1","Phoenix canariensis-Pollen Ak.IgE","Serum","Phoenix canariensis-Pollen IgE-Antikörper [Einheiten/Volumen] in Serum",""
"3469","40133-1","Creatinin^Basislinie","Urin","Creatinin [Mol/Volumen] in Urin --Basislinie",""
"3470","40150-5","Glucose^15 Minuten vor XXX Stimulation","Serum oder Plasma","Glucose [Mol/Volumen] in Serum oder Plasma --15 Minuten vor XXX Stimulation","Glukose"
"3471","40193-5","Glucose^präprandial","Serum oder Plasma","Glucose [Mol/Volumen] in Serum oder Plasma --präprandial","Glukose"
"3472","50836-6","Calcium","Haar","Calcium [Mol/Masse] in Haar","Ca; Kalzium"
"3473","50846-5","Kobalt","Gewebe","Kobalt [Mol/Masse] in Gewebe",""
"3474","41192-6","Dolichovespula arenaria Ak.IgG4","Serum","Dolichovespula arenaria IgG4-Antikörper [Nachweis] in Serum",""
"3475","41193-4","Dolichovespula maculata Ak.IgG4","Serum","Dolichovespula maculata IgG4-Antikörper [Nachweis] in Serum",""
"3476","21381-9","Prolaktin^1,5 Stunden nach XXX Stimulation","Serum oder Plasma","Prolaktin [Masse/Volumen] in Serum oder Plasma --1,5 Stunden nach XXX Stimulation","Prolactin"
"3477","2139-4","Corticosteron","Serum oder Plasma","Corticosteron [Masse/Volumen] in Serum oder Plasma",""
"3478","21397-5","Mononukleäre Zellen","Körperflüssigkeit","Mononukleäre Zellen [#/Volumen] in Körperflüssigkeit mit manueller Zählung",""
"3479","21404-9","Senf Ak.IgG.RAST Klasse","Serum","Senf IgG-Antikörper-RAST-Klasse [Nachweis] in Serum",""
"3480","24177-8","Coxsackie-Virus B1 Ak^1. Probenmaterial","Serum","Coxsackievirus B1 Antikörper [Titer] in Serum mit Komplementbindungsreaktion --1. Probenmaterial",""
"3481","24184-4","Coxsackie-Virus B2 Ak.neutralisierend^2. Probenmaterial","Serum","Coxsackievirus B2-neutralisierender Antikörper [Titer] in Serum mit Neutralisationstest --2. Probenmaterial",""
"3482","24193-5","Coxsackie-Virus B5 Ak^1. Probenmaterial","Serum","Coxsackievirus B5 Antikörper [Titer] in Serum mit Komplementbindungsreaktion --1. Probenmaterial",""
"3483","17286-6","Monozyten/100 Leukozyten","Synovialflüssigkeit","Monozyten/100 Leukozyten in Synovialflüssigkeit mit manueller Zählung",""
"3484","17293-2","Mumps-Virus Ak.IgG+IgM","Serum","Mumps-Virus IgG+IgM-Antikörper [Einheiten/Volumen] in Serum","Mumps rubulavirus"
"3485","17307-0","Myelin Ak.IgM","Serum","Myelin IgM-Antikörper [Nachweis] in Serum",""
"3486","17322-9","Neisseria meningitidis Ak","Serum","Neisseria meningitidis Antikörper [Nachweis] in Serum",""
"3487","17354-2","Neutrophiler zytoplasmatischer Ak.IgA","Serum","Neutrophiler zytoplasmatischer IgA-Antikörper [Nachweis] in Serum",""
"3488","17305-4","Myelin Ak.IgA","Serum","Myelin IgA-Antikörper [Nachweis] in Serum",""
"3489","23953-3","Aspergillus sp Ak","Zerebrospinalflüssigkeit","Aspergillus sp Antikörper [Titer] in Zerebrospinalflüssigkeit mit Komplementbindungsreaktion",""
"3490","23966-5","Borrelia burgdorferi Ak.IgG","Zerebrospinalflüssigkeit","Borrelia burgdorferi IgG-Antikörper [Titer] in Zerebrospinalflüssigkeit",""
"3491","23986-3","Brucella abortus Ak.IgG","Zerebrospinalflüssigkeit","Brucella abortus IgG-Antikörper [Titer] in Zerebrospinalflüssigkeit mit Immunfluoreszenztest",""
"3492","23991-3","Dengue-Virus Ak.IgG","Serum","Dengue-Virus IgG-Antikörper [Einheiten/Volumen] in Serum mit Immunoassay",""
"3493","23995-4","Epstein-Barr-Virus early Ak.IgG","Serum","Epstein-Barr-Virus early IgG-Antikörper [Titer] in Serum mit Immunfluoreszenztest",""
"3494","19258-3","Sauerstoff^^angepasst an aktuelle Körpertemperatur des Patienten oder der Patientin","Blut venös","Sauerstoff [Partialdruck] angepasst an aktuelle Körpertemperatur des Patienten oder der Patientin in venösem Blut",""
"3495","19313-6","Trizyklische Antidepressiva getestet auf","Urin","Trizyklische Antidepressiva (Test auf) in Urin mit Screening - Nominal",""
"3496","19321-9","6-Monoacetylmorphin","Urin","6-Monoacetylmorphin [Nachweis] in Urin mit Screening",""
"3497","44087-5","Escherichia coli O157 Ag","XXX","Escherichia coli O157 Antigen [Nachweis] in Probenmaterial",""
"3498","22653-0","Cystin","Zerebrospinalflüssigkeit","Cystin [Mol/Volumen] in Zerebrospinalflüssigkeit",""
"3499","22655-5","Aspartat","Zerebrospinalflüssigkeit","Aspartat [Mol/Volumen] in Zerebrospinalflüssigkeit","Asparaginsäure"
"3500","2265-7","Ethylmalonat","Urin","Ethylmalonat [Masse/Volumen] in Urin",""
"3501","56994-7","Tyrosin/Creatinin","Urin","Tyrosin/Creatinin [Verhältnis] in 24-Stunden-Urin",""
"3502","57004-4","Glucose/Creatinin","Urin","Glucose/Creatinin [Massenverhältnis] in 24-Stunden-Urin","Glukose"
"3503","22664-7","Harnstoff","Serum oder Plasma","Harnstoff [Mol/Volumen] in Serum oder Plasma",""
"3504","22665-4","Bilirubin.Albumin gebunden","Serum oder Plasma","Bilirubin.Delta [Mol/Volumen] in Serum oder Plasma",""
"3505","22678-7","Ethylenglykol","Urin","Ethylenglykol [Mol/Volumen] in Urin",""
"3506","22679-5","Lysin/Creatinin","Urin","Lysin/Creatinin [Molverhältnis] in Urin",""
"3507","22684-5","Serin/Creatinin","Urin","Serin/Creatinin [Molverhältnis] in Urin",""
"3508","22691-0","Aspartat/Creatinin","Urin","Aspartat/Creatinin [Molverhältnis] in Urin","Asparaginsäure"
"3509","22193-7","Chlamydia trachomatis Ak.IgM","Serum","Chlamydia trachomatis IgM-Antikörper [Titer] in Serum","Chlamydia trachomatis"
"3510","22965-8","Campylobacter fetus Ag","XXX","Campylobacter fetus Antigen [Nachweis] in Probenmaterial mit Immunfluoreszenztest",""
"3511","23060-7","Epizootische-hämorrhagische-Krankheit-Virus Ak","Serum","Epizootische-hämorrhagische-Krankheit-Virus Antikörper [Nachweis] in Serum mit Komplementbindungsreaktion",""
"3512","2309-3","Galaktose","Urin","Galactose [Nachweis] in Urin",""
"3513","2312-7","Galaktose-1-Phosphat","Erythrozyten","Galactose-1-Phosphat [Masse/Volumen] in Erythrozyten","RBC"
"3514","23127-4","Francisella tularensis Ag","Gewebe","Francisella tularensis Antigen [Nachweis] in Gewebe mit Immunfluoreszenztest",""
"3515","23153-0","Leishmania sp Ak","Serum","Leishmania sp Antikörper [Nachweis] in Serum mit Immunoassay",""
"3516","23161-3","Leishmania sp identifiziert","Gewebe","Leishmania sp identifiziert in Gewebe mit Elektrophorese",""
"3517","15860-0","Maus-Serumproteine Ak.IgE.RAST Klasse","Serum","Maus-Serumproteine IgE-Antikörper-RAST-Klasse [Nachweis] in Serum",""
"3518","15866-7","Agaricus hortensis Ak.IgE.RAST Klasse","Serum","Agaricus hortensis IgE-Antikörper-RAST-Klasse [Nachweis] in Serum",""
"3519","15880-8","Quercus virginiana Ak.IgE.RAST Klasse","Serum","Quercus virginiana IgE-Antikörper-RAST-Klasse [Nachweis] in Serum",""
"3520","15885-7","Avena sativa Ak.IgE.RAST Klasse","Serum","Avena sativa IgE-Antikörper-RAST-Klasse [Nachweis] in Serum",""
"3521","22650-6","Glycin","Zerebrospinalflüssigkeit","Glycin [Mol/Volumen] in Zerebrospinalflüssigkeit",""
"3522","22651-4","Lysin","Zerebrospinalflüssigkeit","Lysin [Mol/Volumen] in Zerebrospinalflüssigkeit",""
"3523","23658-8","Antibiotikum XXX","Isolat","Anderes Antibiotikum [Empfindlichkeit]",""
"3524","43311-0","Desmoglein 1 Ak","Serum","Desmoglein 1 Antikörper [Einheiten/Volumen] in Serum",""
"3525","34260-0","Katecholamine","Urin","Katecholamine [Mol/Volumen] in 24-Stunden-Urin",""
"3526","34264-2","Chlamydia sp Ak.IgA","Serum","Chlamydia sp IgA-Antikörper [Titer] in Serum mit Immunfluoreszenztest",""
"3527","14544-1","Masern-Virus Ag","Urethra","Masern-Virus Antigen [Nachweis] in Harnröhre mit Immunfluoreszenztest","Measles morbillivirus"
"3528","14556-5","Mycobacterium tuberculosis DNA","Sputum","Mycobacterium tuberculosis DNA [Nachweis] in Sputum mit Nukleinsäureamplifikation mit Sondendetektion",""
"3529","14559-9","Mycobacterium tuberculosis DNA","Pleuraflüssigkeit","Mycobacterium tuberculosis DNA [Nachweis] in Pleuraflüssigkeit mit Nukleinsäureamplifikation mit Sondendetektion",""
"3530","13705-9","Albumin/Creatinin","Urin","Albumin/Creatinin [Massenverhältnis] in 24-Stunden-Urin",""
"3531","50692-3","Parainfluenza-Virus 1+2+3 Ak","Serum","Parainfluenza-Virus 1+2+3 Antikörper [Titer] in Serum mit Komplementbindungsreaktion",""
"3532","50719-4","11-Desoxycortisol^4. Probenmaterial nach XXX Stimulation","Serum oder Plasma","11-Desoxycortisol [Masse/Volumen] in Serum oder Plasma --4. Probenmaterial nach XXX Stimulation",""
"3533","35066-0","Blasten","Pleuraflüssigkeit","Blasten [#/Volumen] in Pleuraflüssigkeit",""
"3534","35071-0","Basophile","Körperflüssigkeit","Basophile [#/Volumen] in Körperflüssigkeit",""
"3535","35072-8","Basophile","Zerebrospinalflüssigkeit","Basophile [#/Volumen] in Zerebrospinalflüssigkeit",""
"3536","4644-1","Hämosiderin","Urin","Hämosiderin [Nachweis] in Urin",""
"3537","4649-0","Interferon","Serum","Interferon [Einheiten/Volumen] in Serum",""
"3538","2709-4","Sauerstoffsättigung","Blut kapillar","Sauerstoffsättigung in Kapillarblut","O2-Sättigung"
"3539","27112-2","Mikroskopische Beobachtung","Körperflüssigkeit","Mikroskopische Beobachtung [Nachweis oder Identität] in Körperflüssigkeit mit Gram-Färbung",""
"3540","38478-4","Biotinidase","Blut.Tropfen","Biotinidase [Nachweis] in Trockenblut",""
"3541","384-8","Oxacillin","Isolat","Oxacillin [Empfindlichkeit] mit Agardiffusion",""
"3542","38363-8","Cefepim","Serum oder Plasma","Cefepim [Masse/Volumen] in Serum oder Plasma",""
"3543","38368-7","Taubenkot Ak.IgG","Serum","Taubenkot IgG-Antikörper [Masse/Volumen] in Serum",""
"3544","10676-5","Hepatitis-C-Virus RNA","Serum oder Plasma","Hepatitis-C-Virus RNA [Einheiten/Volumen] (Viruslast) in Serum oder Plasma mit Sondendetektion mit Amplifikation","Hepacivirus C; HCV"
"3545","10690-6","Microsporidia identifiziert","Duodenalflüssigkeit","Microsporidia identifiziert in Duodenalflüssigkeit mit modifizierter Trichrom-Färbung",""
"3546","10709-4","Plasmodium falciparum Ag","Blut","Plasmodium falciparum Antigen [Einheiten/Volumen] in Blut mit Immunfluoreszenztest",""
"3547","10715-1","Schistosoma sp identifiziert","Urinsediment","Schistosoma sp identifiziert in Urinsediment mit Lichtmikroskopie",""
"3548","10724-3","Toxoplasma gondii Ak.IgE","Serum","Toxoplasma gondii IgE-Antikörper [Einheiten/Volumen] in Serum mit Immunoassay",""
"3549","10726-8","Toxoplasma gondii","Gewebe","Toxoplasma gondii [Nachweis] in Gewebe mit Giemsa-Färbung",""
"3550","10835-7","Lipoprotein (klein a)","Serum oder Plasma","Lipoprotein a [Masse/Volumen] in Serum oder Plasma",""
"3551","10366-3","Cotinin","Urin","Cotinin [Masse/Volumen] in Urin",""
"3552","10381-2","Targetzellen","Blut","Targetzellen [Nachweis] in Blut mit Lichtmikroskopie",""
"3553","18959-7","Ofloxacin","Isolat","Ofloxacin [Empfindlichkeit]",""
"3554","18960-5","Oleandomycin","Isolat","Oleandomycin [Empfindlichkeit]",""
"3555","29383-7","Warfarin","Magenflüssigkeit","Warfarin [Masse/Volumen] in Magenflüssigkeit",""
"3556","29396-9","Gastrin^1,5 Stunden nach XXX Stimulation","Serum oder Plasma","Gastrin [Masse/Volumen] in Serum oder Plasma --1,5 Stunden nach XXX Stimulation",""
"3557","2939-7","Serotonin","Blut","Serotonin [Masse/Volumen] in Blut",""
"3558","2947-0","Natrium","Blut","Natrium [Mol/Volumen] in Blut","Na"
"3559","58365-8","7-Aminoclonazepam","Urin","7-Aminoclonazepam [Nachweis] in Urin mit Bestätigungstest",""
"3560","58372-4","Meprobamat/Creatinin","Urin","Meprobamat/Creatinin [Massenverhältnis] in Urin",""
"3561","6275-2","Ambrosia psilostachya Ak.IgE","Serum","Ambrosia psilostachya IgE-Antikörper [Einheiten/Volumen] in Serum",""
"3562","2950-4","Natrium","Körperflüssigkeit","Natrium [Mol/Volumen] in Körperflüssigkeit","Na"
"3563","29506-3","2-Oxoadipat/Creatinin","Urin","2-Oxoadipat/Creatinin [Molverhältnis] in Urin",""
"3564","29539-4","HIV-1 RNA","Plasma","HIV-1 RNA [log #/Volumen] (Viruslast) in Plasma mit Sondendetektion mit Signalamplifikation",""
"3565","3122-9","Vanillinmandelat","Urin","Vanillinmandelat [Masse/Zeit] in 24-Stunden-Urin","Vanillinmandelsäure"
"3566","26704-7","Isospora belli","Stuhl","Isospora belli [Nachweis] in Stuhl mit Immunfluoreszenztest",""
"3567","26714-6","Phenylpropanolamin","Mekonium","Phenylpropanolamin [Masse/Masse] in Mekonium",""
"3568","25973-9","Phosphat","Urin","Phosphat [Mol/Volumen] in 24-Stunden-Urin",""
"3569","25975-4","Prolin","Urin","Prolin [Mol/Volumen] in 24-Stunden-Urin",""
"3570","25979-6","Serin","Urin","Serin [Mol/Volumen] in 24-Stunden-Urin",""
"3571","25444-1","IgA","Urin","IgA [Nachweis] in Urin mit Immunelektrophorese",""
"3572","25447-4","Insulin.frei","Serum oder Plasma","Insulin frei [Mol/Volumen] in Serum oder Plasma",""
"3573","22654-8","Citrullin","Zerebrospinalflüssigkeit","Citrullin [Mol/Volumen] in Zerebrospinalflüssigkeit",""
"3574","22656-3","Arginin","Zerebrospinalflüssigkeit","Arginin [Mol/Volumen] in Zerebrospinalflüssigkeit",""
"3575","31840-2","Haemophilus influenzae E Ag","XXX","Haemophilus influenzae E Antigen [Nachweis] in Probenmaterial",""
"3576","31841-0","Haemophilus influenzae F Ag","Zerebrospinalflüssigkeit","Haemophilus influenzae F Antigen [Nachweis] in Zerebrospinalflüssigkeit",""
"3577","2721-9","Pankreatisches Polypeptid","Serum oder Plasma","Pankreatisches Polypeptid [Masse/Volumen] in Serum oder Plasma",""
"3578","27260-9","Schistosoma sp Ak.IgG","Zerebrospinalflüssigkeit","Schistosoma sp IgG-Antikörper [Einheiten/Volumen] in Zerebrospinalflüssigkeit mit Immunoassay",""
"3579","27278-1","Phosphoethanolamin","Amnionflüssigkeit","Phosphoethanolamin [Mol/Volumen] in Amnionflüssigkeit",""
"3580","27298-9","Protein","Urin","Protein [Einheiten/Volumen] in Urin","Eiweiß; Gesamteiweiß; Gesamt-Eiweiß"
"3581","27342-5","Fasciola hepatica Ak","Serum","Fasciola hepatica Antikörper [Titer] in Serum mit Immunoassay",""
"3582","27369-8","Somatotropin^2,5 Stunden nach XXX Stimulation","Serum oder Plasma","Somatotropin [Masse/Volumen] in Serum oder Plasma --2,5 Stunden nach XXX Stimulation","Somatotropes Hormon; humanes Growth Hormon; STH; hGH"
"3583","27377-1","Aspergillus flavus Ak","Körperflüssigkeit","Aspergillus flavus Antikörper [Nachweis] in Körperflüssigkeit mit Immundiffusion",""
"3584","27201-3","Zink/Creatinin","Urin","Zink/Creatinin [Massenverhältnis] in 24-Stunden-Urin",""
"3585","27205-4","Amphetamine","Glaskörperflüssigkeit","Amphetamine [Nachweis] in Glaskörperflüssigkeit",""
"3586","27214-6","Purkinjezellen Ak","Serum","Purkinjezellen Antikörper [Nachweis] in Serum",""
"3587","27218-7","Chinin","Urin","Chinin [Masse/Volumen] in Urin",""
"3588","27224-5","Barbiturate","Glaskörperflüssigkeit","Barbiturate [Nachweis] in Glaskörperflüssigkeit",""
"3589","272-5","Gramicidin D","Isolat","Gramicidin D [Empfindlichkeit] mit Agardiffusion",""
"3590","27264-1","Aluminium","Zerebrospinalflüssigkeit","Aluminium [Masse/Volumen] in Zerebrospinalflüssigkeit",""
"3591","27286-4","Triazolam","Stuhl","Triazolam [Masse/Masse] in Stuhl",""
"3592","27296-3","Arginin","Urin","Arginin [Mol/Volumen] in Urin",""
"3593","27310-2","Taurin","Amnionflüssigkeit","Taurin [Mol/Volumen] in Amnionflüssigkeit",""
"3594","27313-6","Aspergillus niger Ak","Serum","Aspergillus niger Antikörper [Titer] in Serum mit Immundiffusion",""
"3595","27317-7","Aspargin","Urin","Aspargin [Mol/Volumen] in Urin",""
"3596","27089-2","Aspargin","Amnionflüssigkeit","Aspargin [Mol/Volumen] in Amnionflüssigkeit",""
"3597","27093-4","Leptospira sp Ak.IgG","Zerebrospinalflüssigkeit","Leptospira sp IgG-Antikörper [Einheiten/Volumen] in Zerebrospinalflüssigkeit mit Immunoassay",""
"3598","2865-4","Alpha-1-Globulin","Serum oder Plasma","Alpha-1-Globulin [Masse/Volumen] in Serum oder Plasma mit Elektrophorese","a1-Globulin"
"3599","28659-1","Präkallikrein aktuell/normal","Thrombozytenarmes Plasma","Präkallikrein (Fletcher-Faktor) aktuell/normal in thrombozytenarmem Plasma mit chromogener Methode",""
"3600","2868-8","Alpha-2-Globulin","Serum oder Plasma","Alpha-2-Globulin [Masse/Volumen] in Serum oder Plasma mit Elektrophorese","a2-Globulin"
"3601","288-1","Isoniazid","Isolat","Isoniazid [Empfindlichkeit] mit Agardiffusion",""
"3602","2888-6","Protein","Urin","Protein [Masse/Volumen] in Urin","Eiweiß; Gesamteiweiß; Gesamt-Eiweiß"
"3603","2903-3","Pyrimidin-5'-Nucleotidase","Blut","Pyrimidin-5'-Nucleotidase [Enzymaktivität/Volumen] in Blut",""
"3604","2908-2","Pyruvat","Urin","Pyruvat [Masse/Volumen] in Urin",""
"3605","28542-9","Mittleres Thrombozytenvolumen","Blut","Mittleres Thrombozytenvolumen [Entitisches Volumen] in Blut","MPV"
"3606","28554-4","Triglycerid","Serum oder Plasma","Triglycerid [Nachweis] in Serum oder Plasma",""
